Target_genes,Score
Nemp1,118.25581399999999
Dpysl2,118.25581399999999
Scnn1a,118.24418600000001
Cox8c,118.19767399999999
Soat2,118.174419
Ppp1r15a,118.174419
Plekha4,118.174419
Pigs,117.953488
Aldoc,117.953488
Tmem98,117.94186
Pip5k1c,117.94186
Azin1,117.930233
Avpi1,117.80232600000001
Aacs,117.73255800000001
Mzt2,117.604651
Syt12,117.55814
Washc1,117.395349
Rps8,117.383721
Zfp143,117.36046499999999
Smad3,117.20930200000001
Mfsd2a,117.186047
Hsp90ab1,117.116279
Selenow,117.034884
Rps20,116.906977
Pilrb1,116.906977
Stat5b,116.825581
1700001P01Rik,116.674419
Plcxd1,116.604651
Selplg,116.534884
Mvp,116.534884
Cd53,116.395349
Gbe1,116.337209
Tmco4,116.325581
Errfi1,116.20930200000001
Uba1,115.988372
Pias4,115.930233
Sting1,115.84883700000002
Tbx10,115.837209
Ago2,115.674419
Pdcd7,115.62790700000001
Rps24,115.593023
Slc12a3,115.523256
Hspa1b,115.44186
Prr15l,115.37209299999999
Ctdnep1,115.34883700000002
Treml2,115.22093000000001
Plk2,115.104651
Trib3,114.94186
Sbno1,114.674419
Rap1gds1,114.63953500000001
Desi2,114.616279
Tlcd1,114.523256
Rpl23a,114.523256
Nek8,114.523256
Slc35f5,114.511628
Dennd6b,114.511628
H4c8,114.476744
Adamtsl1,114.44186
Pus7l,114.37209299999999
Irak4,114.37209299999999
Sgk1,114.13953500000001
Gpr137,114.0
Bad,114.0
Rps27a,113.86046499999999
Rbx1,113.86046499999999
Clhc1,113.86046499999999
Wsb1,113.73255800000001
Ell,113.72093000000001
Bcl10,113.686047
Setmar,113.55814
Ltbr,113.488372
Tirap,113.418605
Ten1,113.337209
Acox1,113.337209
Rnf114,113.29069799999999
Pa2g4,113.27906999999999
Pkm,113.24418600000001
Rpl3l,113.046512
Dus2,112.988372
Ddx28,112.988372
Crppa,112.988372
Rnf186,112.976744
Smap2,112.94186
Vcl,112.930233
Klhl24,112.918605
Gadd45a,112.918605
H2ac10,112.87209299999999
Ints12,112.813953
Gstcd,112.813953
Sema3b,112.80232600000001
Raf1,112.77906999999999
Ski,112.76744199999999
Rbm27,112.69767399999999
Ripk2,112.686047
Gtdc1,112.604651
Rnh1,112.569767
Rpl13,112.55814
Kdm4c,112.476744
Pnpo,112.418605
Gapdh,112.313953
Arrdc3,112.20930200000001
Ubr1,112.13953500000001
Tmem62,112.13953500000001
Atf6,112.104651
Tpcn1,112.081395
Rundc3a,112.05814
Fam53c,111.988372
Cdc25c,111.988372
3830406C13Rik,111.895349
Snrnp200,111.837209
1810024B03Rik,111.837209
Ppia,111.80232600000001
Klhl21,111.76744199999999
Lamp2,111.72093000000001
Zfp605,111.62790700000001
Gtpbp6,111.62790700000001
Smad6,111.616279
Rps16,111.581395
Rpl17,111.476744
BC031181,111.476744
Yars,111.337209
S100pbp,111.337209
Calm2,111.337209
Magi3,111.22093000000001
Tmx3,111.15116299999998
Pspc1,111.104651
Serpinb5,111.034884
Kxd1,111.0
Fkbp8,111.0
Dnmt1,110.94186
Surf6,110.79069799999999
Iqcd,110.75581399999999
Rcc1,110.674419
Eif2b2,110.5
Samd4b,110.476744
Gmfg,110.476744
Tsen34,110.453488
Tmpo,110.34883700000002
B4galnt4,110.25581399999999
Dapk3,110.046512
Neurl1a,110.034884
Tuba1c,110.0
Cers2,109.825581
H4c17,109.74418600000001
Emp1,109.62790700000001
Ube2g2,109.55814
Igtp,109.534884
Sft2d2,109.511628
Cntrl,109.383721
Anxa9,109.36046499999999
Bcl2l10,109.27906999999999
Rnf185,109.25581399999999
Snrpd3,109.22093000000001
Gucd1,109.22093000000001
Cyb561,109.15116299999998
Poli,109.104651
Syt11,108.988372
B230219D22Rik,108.953488
Smc3,108.895349
Strap,108.86046499999999
Dok4,108.825581
Kat2b,108.686047
Ppp1r3b,108.616279
Taf13,108.453488
Casp4,108.337209
Ormdl3,108.29069799999999
Gnai2,108.26744199999999
Thumpd3,108.22093000000001
Tm7sf3,108.116279
Med21,108.116279
Ctsz,107.930233
Pibf1,107.895349
Dis3,107.895349
Slamf1,107.86046499999999
Rab42,107.86046499999999
Tmem189,107.72093000000001
Dbi,107.69767399999999
3110009E18Rik,107.69767399999999
Intu,107.523256
Gcat,107.511628
Afmid,107.418605
Eif2b5,107.313953
Tob2,107.27906999999999
Csn2,107.23255800000001
Trmt2a,107.12790700000001
Ranbp1,107.12790700000001
Zfp36l2,107.081395
Vps26c,107.081395
Selenot,107.069767
Nfil3,107.05814
Mefv,106.988372
Ippk,106.906977
Tent5c,106.87209299999999
Dhx9,106.69767399999999
Nepro,106.55814
Kdm6b,106.5
Lsm2,106.430233
Hspa1l,106.430233
Hspa1a,106.430233
Ndufs1,106.313953
Eef1b2,106.313953
Eif4e2,106.27906999999999
Chrng,106.27906999999999
Tram1,106.22093000000001
Spib,106.20930200000001
Mybpc2,106.20930200000001
Clpx,106.186047
Mbnl1,106.15116299999998
Zfp512b,106.12790700000001
Samd10,106.12790700000001
Prpf6,106.12790700000001
Sod1,106.104651
Tgm2,106.011628
Spns1,106.011628
Lat,106.011628
Coa4,106.011628
Prss8,105.906977
Zfp446,105.825581
Fbxo30,105.76744199999999
Mafb,105.74418600000001
Slc25a3,105.73255800000001
Pnp,105.70930200000001
Pprc1,105.55814
Ezr,105.534884
Cwh43,105.523256
Ifitm2,105.406977
Gtf2a1,105.30232600000001
B4galt3,105.27906999999999
Olfr530,105.26744199999999
Trmt10a,105.116279
Mttp,105.116279
Ctdsp2,105.093023
Vsig10l,105.081395
Lin37,105.069767
Hspb6,105.069767
Ctxn2,105.046512
Foxo1,104.965116
Arl15,104.930233
Lgals8,104.895349
Zmynd10,104.813953
Rassf1,104.813953
Nufip2,104.79069799999999
Cpt2,104.674419
Gtpbp3,104.651163
Ano8,104.651163
Ubp1,104.325581
Zfand5,104.20930200000001
Prrc2a,104.174419
Mon2,104.139535
Fam110a,104.069767
Abhd17c,103.96511600000001
Jpt1,103.94185999999999
Tmem151b,103.895349
Ctbs,103.825581
Glce,103.77906999999999
Nnat,103.662791
Blcap,103.662791
Taco1,103.616279
Phyhd1,103.593023
Mrm3,103.581395
Glod4,103.581395
Tmem208,103.55814000000001
Lrrc29,103.55814000000001
Rhob,103.46511600000001
Asrgl1,103.372093
Irgm1,103.337209
Trip6,103.27906999999999
Srrt,103.27906999999999
Msh2,103.244186
Rasa1,103.186047
Elovl1,103.174419
Cdc20,103.174419
Cfap45,103.151163
Stn1,103.05814000000001
Gpr155,103.05814000000001
Ahi1,103.04651199999999
Rhov,103.03488399999999
Pros1,103.011628
Arl13b,103.011628
Crlf2,102.988372
Pdf,102.976744
Nip7,102.976744
Cog8,102.976744
Pik3ip1,102.96511600000001
Scrt1,102.95348800000001
AI182371,102.848837
Zfp598,102.825581
Gm16130,102.813953
